Intra-classXmlRpcWorkflowManager;XmlRpcWorkflowManager;[Dispersed Coupling -> XmlRpcWorkflowManager.getWorkflowInstances, Dispersed Coupling -> XmlRpcWorkflowManager.populateWorkflows, Dispersed Coupling -> XmlRpcWorkflowManager.executeDynamicWorkflow, Dispersed Coupling -> XmlRpcWorkflowManager.getWorkflowInstancesByStatus, Dispersed Coupling -> XmlRpcWorkflowManager.getWorkflowsByEvent, Dispersed Coupling -> XmlRpcWorkflowManager.handleEvent, Dispersed Coupling -> XmlRpcWorkflowManager.getWorkflows, Feature Envy -> XmlRpcWorkflowManager.loadProperties]
Intra-classPrioritizedQueueBasedWorkflowEngine;PrioritizedQueueBasedWorkflowEngine;[Feature Envy -> PrioritizedQueueBasedWorkflowEngine.getLifecycleForWorkflow, Feature Envy -> PrioritizedQueueBasedWorkflowEngine.persist]
Intra-classTestWorkflowCli;TestWorkflowCli;[Feature Envy -> TestWorkflowCli.testGetWorkflowInsts, Feature Envy -> TestWorkflowCli.testGetWorkflows, Feature Envy -> TestWorkflowCli.testGetRegisteredEvents]
Intra-classInstanceRepoCleaner;InstanceRepoCleaner;[Dispersed Coupling -> InstanceRepoCleaner.cleanRepository, Feature Envy -> InstanceRepoCleaner.main]
Intra-componentDispersed Couplingorg.apache.oodt.cas.workflow.instrepo;Dispersed Coupling -> org.apache.oodt.cas.workflow.instrepo;[Dispersed Coupling -> DataSourceWorkflowInstanceRepository.addWorkflowInstanceMetadata, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.getWorkflowInstances, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.getWorkflowInstancesByStatus, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.getNumWorkflowInstancesByStatus, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.getNumWorkflowInstances, Dispersed Coupling -> LuceneWorkflowInstanceRepository.addConditionsToDoc, Dispersed Coupling -> MemoryWorkflowInstanceRepository.getNumWorkflowInstancesByStatus, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.getWorkflowInstanceById, Dispersed Coupling -> WorkflowInstanceMetadataReader.parseMetMapFile, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.paginateWorkflows, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.removeWorkflowInstance, Dispersed Coupling -> MemoryWorkflowInstanceRepository.getWorkflowInstancesByStatus, Dispersed Coupling -> LuceneWorkflowInstanceRepository.addTasksToDoc, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.addMetadataValue, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.removeWorkflowInstanceMetadata, Dispersed Coupling -> LuceneWorkflowInstanceRepository.paginateWorkflows, Dispersed Coupling -> DataSourceWorkflowInstanceRepository.getWorkflowInstanceMetadata, Dispersed Coupling -> LuceneWorkflowInstanceRepository.addInstanceMetadataToDoc, Dispersed Coupling -> LuceneWorkflowInstanceRepository.toConditions]
Intra-componentDispersed Couplingorg.apache.oodt.cas.workflow.system;Dispersed Coupling -> org.apache.oodt.cas.workflow.system;[Dispersed Coupling -> TestXmlRpcWorkflowManager.startXmlRpcWorkflowManager, Dispersed Coupling -> TestXmlRpcWorkflowManagerClient.testGetWorkflowInstanceMetadata]
Intra-componentIntensive Couplingorg.apache.oodt.cas.workflow.repository;Intensive Coupling -> org.apache.oodt.cas.workflow.repository;[Intensive Coupling -> PackagedWorkflowRepository.expandWorkflowTasksAndConditions, Intensive Coupling -> PackagedWorkflowRepository.addWorkflow, Intensive Coupling -> XMLWorkflowRepository.main, Intensive Coupling -> PackagedWorkflowRepository.computeEvents]
Intra-componentGod Classorg.apache.oodt.cas.workflow.engine.processor;God Class -> org.apache.oodt.cas.workflow.engine.processor;[God Class -> WorkflowProcessorHelper, God Class -> WorkflowProcessor]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.engine;Feature Envy -> org.apache.oodt.cas.workflow.engine;[Feature Envy -> TestTaskQuerier.testGetNext, Feature Envy -> MockProcessorQueue.getProcessors]
Intra-componentGod Classorg.apache.oodt.cas.workflow.repository;God Class -> org.apache.oodt.cas.workflow.repository;[God Class -> PackagedWorkflowRepository, God Class -> XMLWorkflowRepository]
Intra-componentDispersed Couplingorg.apache.oodt.cas.workflow.engine;Dispersed Coupling -> org.apache.oodt.cas.workflow.engine;[Dispersed Coupling -> IterativeWorkflowProcessorThread.satisfied, Dispersed Coupling -> IterativeWorkflowProcessorThread.getTaskNameById, Dispersed Coupling -> IterativeWorkflowProcessorThread.checkTaskRequiredMetadata, Dispersed Coupling -> TaskQuerier.run, Dispersed Coupling -> TaskQuerier.persist]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.repository;Feature Envy -> org.apache.oodt.cas.workflow.repository;[Feature Envy -> PackagedWorkflowRepository.generateRedirector, Feature Envy -> XMLWorkflowRepository.getGlobalWorkflowConditionsTask, Feature Envy -> DataSourceWorkflowRepositoryFactory.DataSourceWorkflowRepositoryFactory, Feature Envy -> DataSourceWorkflowRepository.addTask, Feature Envy -> PackagedWorkflowRepository.getChildrenByTagName, Feature Envy -> XMLWorkflowRepository.addTask, Feature Envy -> DataSourceWorkflowRepository.handleGlobalWorkflowConditions, Feature Envy -> PackagedWorkflowRepository.getGlobalWorkflowConditionsTask, Feature Envy -> PackagedWorkflowRepository.addTask]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.repository;Feature Envy -> org.apache.oodt.cas.workflow.repository;[Feature Envy -> TestWorkflowRepository.validateTaskConfiguration, Feature Envy -> TestWorkflowRepository.validateTaskCondition, Feature Envy -> TestWorkflowRepository.validateBackwardsWorkflowTasks, Feature Envy -> MockWorkflowRepository.addTask, Feature Envy -> TestWorkflowRepository.validateBackwardsWorkflow, Feature Envy -> TestWorkflowRepository.testGetWorkflowsForEvent]
Intra-componentDispersed Couplingorg.apache.oodt.cas.workflow.examples;Dispersed Coupling -> org.apache.oodt.cas.workflow.examples;[Dispersed Coupling -> ExternScriptTaskInstance.run, Dispersed Coupling -> FilterTask.run]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.engine;Feature Envy -> org.apache.oodt.cas.workflow.engine;[Feature Envy -> ThreadPoolWorkflowEngineFactory.getResmgrUrl, Feature Envy -> IterativeWorkflowProcessorThread.checkTaskRequiredMetadata, Feature Envy -> ThreadPoolWorkflowEngine.getWallClockMinutes, Feature Envy -> PrioritizedQueueBasedWorkflowEngine.getLifecycleForWorkflow, Feature Envy -> PrioritizedQueueBasedWorkflowEngine.persist, Feature Envy -> ThreadPoolWorkflowEngine.persistWorkflowInstance, Feature Envy -> IterativeWorkflowProcessorThread.executeTaskLocally, Feature Envy -> ThreadPoolWorkflowEngine.resumeWorkflowInstance]
Intra-componentTradition Breakerorg.apache.oodt.cas.workflow.instrepo;Tradition Breaker -> org.apache.oodt.cas.workflow.instrepo;[Tradition Breaker -> DataSourceWorkflowInstanceRepository, Tradition Breaker -> LuceneWorkflowInstanceRepository]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.examples;Feature Envy -> org.apache.oodt.cas.workflow.examples;[Feature Envy -> TestFilterTask.testRenameToKeyWithExistingValues, Feature Envy -> TestFilterTask.testRename]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.system;Feature Envy -> org.apache.oodt.cas.workflow.system;[Feature Envy -> MockXmlRpcWorkflowManagerClient.getWorkflowInstanceById, Feature Envy -> MockXmlRpcWorkflowManagerClient.getLastPage, Feature Envy -> MockXmlRpcWorkflowManagerClient.getFirstPage, Feature Envy -> MockXmlRpcWorkflowManagerClient.paginateWorkflowInstances, Feature Envy -> MockXmlRpcWorkflowManagerClient.paginateWorkflowInstances, Feature Envy -> MockXmlRpcWorkflowManagerClient.getPrevPage, Feature Envy -> MockXmlRpcWorkflowManagerClient.getNextPage]
Intra-componentShotgun Surgeryorg.apache.oodt.cas.workflow.structs;Shotgun Surgery -> org.apache.oodt.cas.workflow.structs;[Shotgun Surgery -> WorkflowInstance.setId, Shotgun Surgery -> Workflow.getName, Shotgun Surgery -> WorkflowInstance.setPriority, Shotgun Surgery -> Priority.getValue, Shotgun Surgery -> WorkflowTask.getConditions, Shotgun Surgery -> WorkflowInstance.getId, Shotgun Surgery -> WorkflowCondition.setConditionInstanceClassName, Shotgun Surgery -> WorkflowInstance.setState, Shotgun Surgery -> Workflow.setId, Shotgun Surgery -> WorkflowInstance.getCurrentTaskId, Shotgun Surgery -> WorkflowInstance.setSharedContext, Shotgun Surgery -> WorkflowTask.getTaskId, Shotgun Surgery -> WorkflowTaskConfiguration.getProperty, Shotgun Surgery -> WorkflowTask.setTaskConfig, Shotgun Surgery -> WorkflowInstance.setCurrentTaskId, Shotgun Surgery -> WorkflowCondition.getConditionId, Shotgun Surgery -> Workflow.getTasks, Shotgun Surgery -> WorkflowInstance.setWorkflow, Shotgun Surgery -> WorkflowInstance.getSharedContext, Shotgun Surgery -> WorkflowTask.setConditions, Shotgun Surgery -> WorkflowTask.setTaskInstanceClassName, Shotgun Surgery -> ParentChildWorkflow.getGraph, Shotgun Surgery -> WorkflowTask.setTaskName, Shotgun Surgery -> WorkflowInstance.setStatus, Shotgun Surgery -> WorkflowInstance.getPriority, Shotgun Surgery -> WorkflowInstancePage.getPageWorkflows, Shotgun Surgery -> Workflow.setConditions, Shotgun Surgery -> WorkflowTask.getTaskConfig, Shotgun Surgery -> Workflow.getConditions, Shotgun Surgery -> WorkflowCondition.setConditionName, Shotgun Surgery -> WorkflowInstancePage.getPageNum, Shotgun Surgery -> Workflow.setTasks, Shotgun Surgery -> WorkflowInstance.getStatus, Shotgun Surgery -> Workflow.getId, Shotgun Surgery -> WorkflowCondition.getTimeoutSeconds, Shotgun Surgery -> WorkflowCondition.setConditionId, Shotgun Surgery -> WorkflowInstance.getParentChildWorkflow, Shotgun Surgery -> WorkflowTaskConfiguration.addConfigProperty, Shotgun Surgery -> WorkflowInstance.getWorkflow, Shotgun Surgery -> WorkflowCondition.isOptional, Shotgun Surgery -> Workflow.setName, Shotgun Surgery -> WorkflowTask.getTaskName, Shotgun Surgery -> WorkflowCondition.getConditionInstanceClassName, Shotgun Surgery -> WorkflowTask.getTaskInstanceClassName, Shotgun Surgery -> WorkflowInstance.getState, Shotgun Surgery -> WorkflowTask.setTaskId, Shotgun Surgery -> WorkflowCondition.getConditionName, Shotgun Surgery -> WorkflowTaskConfiguration.getProperties, Shotgun Surgery -> Graph.getExecutionType]
Intra-componentDispersed Couplingorg.apache.oodt.cas.workflow.lifecycle;Dispersed Coupling -> org.apache.oodt.cas.workflow.lifecycle;[Dispersed Coupling -> TestWorkflowLifecycleManager.testReadOldStateFormat, Dispersed Coupling -> TestWorkflowLifecycleManager.testReadNewStateFormat]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.lifecycle;Feature Envy -> org.apache.oodt.cas.workflow.lifecycle;[Feature Envy -> WorkflowLifecycleManager.getStage, Feature Envy -> WorkflowLifecyclesReader.readLifecycle, Feature Envy -> WorkflowLifecycle.createState, Feature Envy -> WorkflowLifecycle.makeCopy]
Intra-componentIntensive Couplingorg.apache.oodt.cas.workflow.instrepo;Intensive Coupling -> org.apache.oodt.cas.workflow.instrepo;[Intensive Coupling -> AbstractPaginatibleInstanceRepository.getPagedWorkflows, Intensive Coupling -> LuceneWorkflowInstanceRepository.toWorkflowInstance, Intensive Coupling -> DataSourceWorkflowInstanceRepository.updateWorkflowInstance, Intensive Coupling -> DataSourceWorkflowInstanceRepository.addWorkflowInstance, Intensive Coupling -> LuceneWorkflowInstanceRepository.toDoc]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.system;Feature Envy -> org.apache.oodt.cas.workflow.system;[Feature Envy -> XmlRpcWorkflowManagerClient.getWorkflowInstances, Feature Envy -> XmlRpcWorkflowManagerClient.getWorkflows, Feature Envy -> XmlRpcWorkflowManagerClient.paginateWorkflowInstances, Feature Envy -> XmlRpcWorkflowManagerClient.getFirstPage, Feature Envy -> XmlRpcWorkflowManagerClient.getWorkflowsByEvent, Feature Envy -> XmlRpcWorkflowManagerClient.getWorkflowInstanceById, Feature Envy -> XmlRpcWorkflowManagerClient.executeDynamicWorkflow, Feature Envy -> XmlRpcWorkflowManagerClient.updateWorkflowInstance, Feature Envy -> XmlRpcWorkflowManagerClient.sendEvent, Feature Envy -> XmlRpcWorkflowManagerClient.getWorkflowById, Feature Envy -> XmlRpcWorkflowManagerClient.getNextPage, Feature Envy -> XmlRpcWorkflowManagerClient.updateMetadataForWorkflow, Feature Envy -> XmlRpcWorkflowManagerClient.getPrevPage, Feature Envy -> XmlRpcWorkflowManager.loadProperties, Feature Envy -> XmlRpcWorkflowManagerClient.getWorkflowInstancesByStatus, Feature Envy -> XmlRpcWorkflowManagerClient.getTaskById, Feature Envy -> XmlRpcWorkflowManagerClient.getConditionById, Feature Envy -> XmlRpcWorkflowManagerClient.paginateWorkflowInstances, Feature Envy -> XmlRpcWorkflowManagerClient.getLastPage]
Intra-componentGod Classorg.apache.oodt.cas.workflow.util;God Class -> org.apache.oodt.cas.workflow.util;[God Class -> GenericWorkflowObjectFactory, God Class -> XmlRpcStructFactory]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.instrepo;Feature Envy -> org.apache.oodt.cas.workflow.instrepo;[Feature Envy -> DataSourceWorkflowInstanceRepository.addWorkflowInstanceMetadata, Feature Envy -> LuceneWorkflowInstanceRepository.getWorkflowInstanceById, Feature Envy -> WorkflowInstanceMetadataReader.readFields, Feature Envy -> MemoryWorkflowInstanceRepository.paginateWorkflows]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.cli;Feature Envy -> org.apache.oodt.cas.workflow.cli;[Feature Envy -> TestWorkflowCli.testGetWorkflowInsts, Feature Envy -> TestWorkflowCli.testGetWorkflows, Feature Envy -> TestWorkflowCli.testGetRegisteredEvents]
Intra-componentDispersed Couplingorg.apache.oodt.cas.workflow.engine.processor;Dispersed Coupling -> org.apache.oodt.cas.workflow.engine.processor;[Dispersed Coupling -> TaskProcessor.getRunnableWorkflowProcessors, Dispersed Coupling -> WorkflowProcessorQueue.getProcessors, Dispersed Coupling -> WorkflowProcessorHelper.toString, Dispersed Coupling -> WorkflowProcessorHelper.findSkeleton, Dispersed Coupling -> WorkflowProcessor.isDone]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.engine.processor;Feature Envy -> org.apache.oodt.cas.workflow.engine.processor;[Feature Envy -> ConditionProcessor.setWorkflowInstance, Feature Envy -> WorkflowProcessorQueue.getLifecycle, Feature Envy -> TaskProcessor.setWorkflowInstance, Feature Envy -> WorkflowProcessorHelper.getLifecycle, Feature Envy -> WorkflowProcessorHelper.getHostName, Feature Envy -> WorkflowProcessorHelper.toTasks]
Intra-componentIntensive Couplingorg.apache.oodt.cas.workflow.util;Intensive Coupling -> org.apache.oodt.cas.workflow.util;[Intensive Coupling -> XmlStructFactory.getTasks, Intensive Coupling -> DbStructFactory.getWorkflowCondition, Intensive Coupling -> XmlStructFactory.getConditions]
Intra-componentRefused Parent Bequestorg.apache.oodt.cas.workflow.instrepo;Refused Parent Bequest -> org.apache.oodt.cas.workflow.instrepo;[Refused Parent Bequest -> DataSourceWorkflowInstanceRepository, Refused Parent Bequest -> LuceneWorkflowInstanceRepository, Refused Parent Bequest -> MemoryWorkflowInstanceRepository]
Intra-componentDispersed Couplingorg.apache.oodt.cas.workflow.repository;Dispersed Coupling -> org.apache.oodt.cas.workflow.repository;[Dispersed Coupling -> TestWorkflowRepository.testMultipleConditions, Dispersed Coupling -> MockWorkflowRepository.addTask]
Intra-componentDispersed Couplingorg.apache.oodt.cas.workflow.system;Dispersed Coupling -> org.apache.oodt.cas.workflow.system;[Dispersed Coupling -> XmlRpcWorkflowManagerClient.getWorkflowInstances, Dispersed Coupling -> XmlRpcWorkflowManagerClient.getWorkflows, Dispersed Coupling -> XmlRpcWorkflowManager.getWorkflowInstances, Dispersed Coupling -> XmlRpcWorkflowManager.populateWorkflows, Dispersed Coupling -> XmlRpcWorkflowManager.executeDynamicWorkflow, Dispersed Coupling -> XmlRpcWorkflowManager.getWorkflowInstancesByStatus, Dispersed Coupling -> XmlRpcWorkflowManagerClient.getWorkflowInstancesByStatus, Dispersed Coupling -> XmlRpcWorkflowManager.getWorkflowsByEvent, Dispersed Coupling -> XmlRpcWorkflowManager.handleEvent, Dispersed Coupling -> XmlRpcWorkflowManagerClient.getWorkflowsByEvent, Dispersed Coupling -> XmlRpcWorkflowManager.getWorkflows]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.structs;Feature Envy -> org.apache.oodt.cas.workflow.structs;[Feature Envy -> FILOPrioritySorter.sort, Feature Envy -> HighestPrioritySorter.sort, Feature Envy -> ParentChildWorkflow.ParentChildWorkflow]
Intra-componentGod Classorg.apache.oodt.cas.workflow.structs;God Class -> org.apache.oodt.cas.workflow.structs;[God Class -> Graph, God Class -> WorkflowInstance]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.examples;Feature Envy -> org.apache.oodt.cas.workflow.examples;[Feature Envy -> NumIncrementTask.run, Feature Envy -> LongTask.run, Feature Envy -> RandomStatusUpdateTask.run, Feature Envy -> LongCondition.evaluate]
Intra-componentShotgun Surgeryorg.apache.oodt.cas.workflow.lifecycle;Shotgun Surgery -> org.apache.oodt.cas.workflow.lifecycle;[Shotgun Surgery -> WorkflowState.getName, Shotgun Surgery -> WorkflowLifecycle.createState, Shotgun Surgery -> WorkflowLifecycleManager.getDefaultLifecycle, Shotgun Surgery -> WorkflowState.getCategory, Shotgun Surgery -> WorkflowLifecycleStage.getName]
Intra-componentDispersed Couplingorg.apache.oodt.cas.workflow.util;Dispersed Coupling -> org.apache.oodt.cas.workflow.util;[Dispersed Coupling -> XmlStructFactory.getConfiguration, Dispersed Coupling -> XmlStructFactory.getConfigurationAsMetadata]
Intra-componentDispersed Couplingorg.apache.oodt.cas.workflow.repository;Dispersed Coupling -> org.apache.oodt.cas.workflow.repository;[Dispersed Coupling -> DataSourceWorkflowRepository.commitWorkflow, Dispersed Coupling -> PackagedWorkflowRepository.addTask, Dispersed Coupling -> DataSourceWorkflowRepository.getWorkflows, Dispersed Coupling -> PackagedWorkflowRepository.computeWorkflowConditions, Dispersed Coupling -> DataSourceWorkflowRepository.getWorkflowTaskById, Dispersed Coupling -> DataSourceWorkflowRepository.commitTask, Dispersed Coupling -> XMLWorkflowRepository.addTask, Dispersed Coupling -> DataSourceWorkflowRepository.getTasksByWorkflowId, Dispersed Coupling -> DataSourceWorkflowRepository.getConditions, Dispersed Coupling -> DataSourceWorkflowRepository.getTasksByWorkflowName, Dispersed Coupling -> XMLWorkflowRepository.addWorkflow, Dispersed Coupling -> DataSourceWorkflowRepository.getConditionsByTaskId, Dispersed Coupling -> DataSourceWorkflowRepository.getConditionsByWorkflowId, Dispersed Coupling -> DataSourceWorkflowRepository.getConditionsByTaskName, Dispersed Coupling -> XMLWorkflowRepository.loadEvents, Dispersed Coupling -> DataSourceWorkflowRepository.getWorkflowById, Dispersed Coupling -> DataSourceWorkflowRepository.getWorkflowConditionById, Dispersed Coupling -> XMLWorkflowRepository.loadConditions, Dispersed Coupling -> XMLWorkflowRepository.loadTasks, Dispersed Coupling -> DataSourceWorkflowRepository.getRegisteredEvents, Dispersed Coupling -> DataSourceWorkflowRepository.getConfigurationByTaskId, Dispersed Coupling -> DataSourceWorkflowRepository.getTasks, Dispersed Coupling -> XMLWorkflowRepository.loadWorkflows, Dispersed Coupling -> DataSourceWorkflowRepository.getWorkflowsForEvent, Dispersed Coupling -> DataSourceWorkflowRepository.getWorkflowByName, Dispersed Coupling -> PackagedWorkflowRepository.loadConfiguration, Dispersed Coupling -> PackagedWorkflowRepository.loadGraphs, Dispersed Coupling -> DataSourceWorkflowRepository.getConfigurationByConditionId, Dispersed Coupling -> DataSourceWorkflowRepository.getTaskById]
Intra-componentFeature Envyorg.apache.oodt.cas.workflow.util;Feature Envy -> org.apache.oodt.cas.workflow.util;[Feature Envy -> GenericWorkflowObjectFactory.getPrioritySorterFromClassName, Feature Envy -> XmlRpcStructFactory.getXmlRpcWorkflowTaskConfiguration, Feature Envy -> XmlRpcStructFactory.getXmlRpcWorkflowTask, Feature Envy -> XmlRpcStructFactory.getWorkflowFromXmlRpc, Feature Envy -> GenericWorkflowObjectFactory.copyCondition, Feature Envy -> XmlRpcStructFactory.getXmlRpcWorkflowCondition, Feature Envy -> GenericWorkflowObjectFactory.getEngineRunnerFromClassName, Feature Envy -> XmlStructFactory.getWorkflowCondition, Feature Envy -> DbStructFactory.getWorkflowCondition, Feature Envy -> GenericWorkflowObjectFactory.getTaskObjectFromClassName, Feature Envy -> GenericWorkflowObjectFactory.getWorkflowInstanceRepositoryFromClassName, Feature Envy -> GenericWorkflowObjectFactory.getConditionObjectFromClassName, Feature Envy -> GenericWorkflowObjectFactory.getWorkflowEngineFromClassName, Feature Envy -> XmlRpcStructFactory.getWorkflowInstancePageFromXmlRpc, Feature Envy -> GenericWorkflowObjectFactory.getWorkflowRepositoryFromClassName, Feature Envy -> XmlRpcStructFactory.getWorkflowConditionFromXmlRpc, Feature Envy -> XmlStructFactory.getSimpleElementText, Feature Envy -> GenericWorkflowObjectFactory.copyTask, Feature Envy -> XmlRpcStructFactory.getWorkflowTaskFromXmlRpc, Feature Envy -> XmlRpcStructFactory.getXmlRpcWorkflowInstancePage, Feature Envy -> DbStructFactory.getWorkflowTask, Feature Envy -> DbStructFactory.getWorkflow, Feature Envy -> XmlStructFactory.getRequiredMetFields, Feature Envy -> XmlStructFactory.getConfiguration, Feature Envy -> XmlRpcStructFactory.getXmlRpcWorkflow, Feature Envy -> GenericWorkflowObjectFactory.getWorkflowObjectFromClassName]
Intra-componentDispersed Couplingorg.apache.oodt.cas.workflow.lifecycle;Dispersed Coupling -> org.apache.oodt.cas.workflow.lifecycle;[Dispersed Coupling -> WorkflowLifecyclesReader.addStagesToLifecycle, Dispersed Coupling -> WorkflowLifecycleManager.getLifecycleForWorkflow, Dispersed Coupling -> WorkflowLifecyclesReader.readStates]
Intra-methodXmlStructFactory.getConfiguration;XmlStructFactory.getConfiguration;[Dispersed Coupling -> XmlStructFactory.getConfiguration, Feature Envy -> XmlStructFactory.getConfiguration]
Intra-methodWorkflowLifecycle.createState;WorkflowLifecycle.createState;[Feature Envy -> WorkflowLifecycle.createState, Shotgun Surgery -> WorkflowLifecycle.createState]
Intra-methodIterativeWorkflowProcessorThread.run;IterativeWorkflowProcessorThread.run;[Brain Method -> IterativeWorkflowProcessorThread.run, Intensive Coupling -> IterativeWorkflowProcessorThread.run]
Intra-methodPackagedWorkflowRepository.addTask;PackagedWorkflowRepository.addTask;[Dispersed Coupling -> PackagedWorkflowRepository.addTask, Feature Envy -> PackagedWorkflowRepository.addTask]
Intra-methodDbStructFactory.getWorkflowCondition;DbStructFactory.getWorkflowCondition;[Feature Envy -> DbStructFactory.getWorkflowCondition, Intensive Coupling -> DbStructFactory.getWorkflowCondition]
Intra-methodXmlRpcWorkflowManagerClient.getWorkflowInstances;XmlRpcWorkflowManagerClient.getWorkflowInstances;[Dispersed Coupling -> XmlRpcWorkflowManagerClient.getWorkflowInstances, Feature Envy -> XmlRpcWorkflowManagerClient.getWorkflowInstances]
Intra-methodWorkflowProcessorQueue.fromWorkflowInstance;WorkflowProcessorQueue.fromWorkflowInstance;[Brain Method -> WorkflowProcessorQueue.fromWorkflowInstance, Intensive Coupling -> WorkflowProcessorQueue.fromWorkflowInstance]
Intra-methodPackagedWorkflowRepository.expandWorkflowTasksAndConditions;PackagedWorkflowRepository.expandWorkflowTasksAndConditions;[Brain Method -> PackagedWorkflowRepository.expandWorkflowTasksAndConditions, Intensive Coupling -> PackagedWorkflowRepository.expandWorkflowTasksAndConditions]
Intra-methodMockWorkflowRepository.addTask;MockWorkflowRepository.addTask;[Dispersed Coupling -> MockWorkflowRepository.addTask, Feature Envy -> MockWorkflowRepository.addTask]
Intra-methodIterativeWorkflowProcessorThread.checkTaskRequiredMetadata;IterativeWorkflowProcessorThread.checkTaskRequiredMetadata;[Dispersed Coupling -> IterativeWorkflowProcessorThread.checkTaskRequiredMetadata, Feature Envy -> IterativeWorkflowProcessorThread.checkTaskRequiredMetadata]
Intra-methodXmlRpcWorkflowManagerClient.getWorkflowInstancesByStatus;XmlRpcWorkflowManagerClient.getWorkflowInstancesByStatus;[Dispersed Coupling -> XmlRpcWorkflowManagerClient.getWorkflowInstancesByStatus, Feature Envy -> XmlRpcWorkflowManagerClient.getWorkflowInstancesByStatus]
Intra-methodDataSourceWorkflowInstanceRepository.addWorkflowInstanceMetadata;DataSourceWorkflowInstanceRepository.addWorkflowInstanceMetadata;[Dispersed Coupling -> DataSourceWorkflowInstanceRepository.addWorkflowInstanceMetadata, Feature Envy -> DataSourceWorkflowInstanceRepository.addWorkflowInstanceMetadata]
Intra-methodXmlRpcWorkflowManagerClient.getWorkflowsByEvent;XmlRpcWorkflowManagerClient.getWorkflowsByEvent;[Dispersed Coupling -> XmlRpcWorkflowManagerClient.getWorkflowsByEvent, Feature Envy -> XmlRpcWorkflowManagerClient.getWorkflowsByEvent]
Intra-methodXmlRpcWorkflowManagerClient.getWorkflows;XmlRpcWorkflowManagerClient.getWorkflows;[Dispersed Coupling -> XmlRpcWorkflowManagerClient.getWorkflows, Feature Envy -> XmlRpcWorkflowManagerClient.getWorkflows]
Intra-methodXMLWorkflowRepository.addTask;XMLWorkflowRepository.addTask;[Dispersed Coupling -> XMLWorkflowRepository.addTask, Feature Envy -> XMLWorkflowRepository.addTask]
